id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Location
6468287,Home in Sorrento · ★4.94 · 4 bedrooms · 7 beds · 2 baths,33397979,Beach House Rentals,,Point Nepean,-38.35357666015625,144.7568359375,Entire home/apt,821,2,31,2019-10-06,0.32,67,314,0,,Mornington Peninsula
6504445,Cottage in Merricks · ★4.85 · 3 bedrooms · 4 beds · 1.5 baths,33999191,Donna,,Flinders,-38.39066,145.08618,Entire home/apt,450,2,162,2023-05-07,1.66,1,222,25,,Mornington Peninsula
6528138,Home in Rosebud · ★4.77 · 3 bedrooms · 6 beds · 1 bath,34143354,Carmel,,Rosebud - McCrae,-38.36459,144.91519,Entire home/apt,130,2,218,2023-05-10,2.26,1,161,9,,Mornington Peninsula
6544734,Home in Portsea · ★4.84 · 4 bedrooms · 10 beds · 2 baths,34231778,Michael,,Point Nepean,-38.31994,144.712,Entire home/apt,500,2,61,2022-10-02,0.65,1,340,1,,Mornington Peninsula
6561092,Guesthouse in Sorrento · ★4.28 · 1 bedroom · 1 bed · 1 bath,33397979,Beach House Rentals,,Point Nepean,-38.34977,144.74129,Entire home/apt,325,2,19,2023-01-28,0.19,67,348,1,,Mornington Peninsula
6561176,Guesthouse in Sorrento · ★4.35 · 1 bedroom · 1 bed · 1 bath,33397979,Beach House Rentals,,Point Nepean,-38.34785,144.74207,Entire home/apt,325,2,18,2023-03-19,0.18,67,348,4,,Mornington Peninsula
6561641,Home in Blairgowrie · ★4.87 · 4 bedrooms · 5 beds · 3 baths,31105339,Novka,,Point Nepean,-38.35737,144.76456,Entire home/apt,530,2,53,2023-01-14,0.57,1,347,4,,Mornington Peninsula
6577924,Home in Rye · ★4.78 · 4 bedrooms · 6 beds · 2 baths,28597558,Debbie,,Point Nepean,-38.38632,144.81582,Entire home/apt,400,7,10,2022-12-27,0.11,1,314,2,,Mornington Peninsula
6582251,Home in Capel Sound · ★4.90 · 3 bedrooms · 5 beds · 2 baths,34431757,Voula,,Rosebud - McCrae,-38.3756,144.86516,Entire home/apt,450,1,137,2023-06-11,1.44,1,357,12,,Mornington Peninsula
6602646,Home in Sorrento · ★4.82 · 4 bedrooms · 8 beds · 2.5 baths,34543358,Peggy,,Point Nepean,-38.355282,144.757828,Entire home/apt,356,2,36,2023-05-17,0.44,1,273,29,,Mornington Peninsula
6615439,Home in Blairgowrie · ★4.80 · 3 bedrooms · 6 beds · 2 baths,21477817,Jason,,Point Nepean,-38.3662,144.7783,Entire home/apt,439,2,5,2020-12-26,0.06,1,342,0,,Mornington Peninsula
6773026,Home in Safety Beach · ★4.87 · 3 bedrooms · 6 beds · 1 bath,35459688,Aldo,,Dromana,-38.32322,144.99122,Entire home/apt,495,7,33,2021-01-09,0.35,1,309,0,,Mornington Peninsula
6927668,Home in Red Hill · ★4.73 · 6 bedrooms · 9 beds · 2.5 baths,17634490,Kim,,Flinders,-38.36591,144.99313,Entire home/apt,919,2,169,2023-05-28,1.83,93,292,28,,Mornington Peninsula
7095025,Cottage in Rosebud · ★4.85 · 1 bedroom · 1 bed · 1 bath,33064110,Donna,,Rosebud - McCrae,-38.37733,144.91406,Entire home/apt,120,1,132,2023-03-19,1.38,1,54,8,,Mornington Peninsula
7099803,Home in Rosebud West · ★5.0 · 3 bedrooms · 7 beds · 1 bath,37210988,Maree,,Rosebud - McCrae,-38.36526870727539,144.8723602294922,Entire home/apt,300,3,5,2023-04-09,0.10,1,357,3,,Mornington Peninsula
